ID,Unnamed,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
1,0,Player C,Team C,31,164.2382364537619,64.89955396719397,Defender,11,2.0,4,3,81.64491167972037,10.883001151396796,42,4,22,6,0.3745401188473625,55,0,18.39059471142627,1.864902009779013,1.4166666666666667,247.0747628621092,2022
2,1,Player D,Team C,22,164.4896428796635,55.63615910140583,Defender,2,16.0,8,2,76.28801786805352,5.650023687983772,17,6,27,6,0.9507143064099162,96,8,15.01721859229897,0.2228573217623242,6.666666666666667,216.06604460661515,2019
3,2,Player A,Team C,27,188.85165043833382,89.32584968634967,Defender,0,13.0,8,0,78.24726490329448,9.236842052422816,2,6,23,5,0.7319939418114051,36,8,17.96608436512796,0.0,8.0,359.9367770069149,2022
4,3,Player C,Team C,29,184.5673489593816,50.95230768154678,Forward,13,1.0,3,3,99.74274027848745,8.523576289995585,58,5,3,4,0.5986584841970366,37,4,19.3472164584684,0.0774867744926575,2.142857142857143,271.34791068992786,2020
5,4,Player C,Team C,27,192.1728130438869,78.83288083269557,Defender,6,8.0,1,2,51.430636397089856,7.239479412607473,61,3,12,8,0.1560186404424365,14,1,6.884614656643946,1.0298223935138813,9.857142857142858,112.18595216347336,2022
6,5,Player D,Team A,28,195.9700122792626,55.1368811656406,Forward,6,0.0,1,4,95.748608047319,8.119712677433899,38,7,23,1,0.1559945203362026,27,8,6.448808454034185,1.5178046603793791,1.2857142857142858,451.4851086059822,2020
7,6,Player A,Team C,19,184.9501353747693,78.36580480505339,Midfielder,13,0.0,8,3,92.0945380791152,5.005241040704807,90,11,0,2,0.0580836121681994,83,7,17.051117398844536,3.712316988027693,5.785714285714286,218.41335283400394,2020
8,7,Player A,Team C,22,160.22525250992214,52.79525324859265,Goalkeeper,11,0.0,8,1,101.02335387553384,8.240935434929092,63,1,18,8,0.8661761457749352,31,9,17.991890886412556,1.9199147817182585,7.75,228.96473633404176,2020
9,8,Player C,Team A,24,167.45267106074135,108.4652082426138,Goalkeeper,0,1.0,2,0,94.04731768191814,5.784083422362598,72,12,29,1,0.6011150117432088,73,9,13.756421313169785,0.7579372828413474,2.7315831227595937,486.7522210500225,2020
10,9,Player B,Team A,23,179.53478438623182,64.6817295756996,Goalkeeper,26,3.0,4,2,82.42806211864246,14.213021727481411,80,12,19,2,0.7080725777960455,81,5,10.49000821625781,5.126407668152073,2.925925925925926,539.6323304247805,2020
11,10,Player C,Team A,39,174.5329790227604,95.71362360319611,Defender,0,13.0,4,2,94.46772583506052,5.74332880046846,59,7,4,5,0.0205844942958024,83,6,14.789444541128356,1.0796096806199735,10.943700966976829,336.60812925363246,2019
12,11,Player C,Team A,20,180.05403974534983,74.9071662275941,Goalkeeper,27,12.0,1,0,79.7365441131573,14.531058877156743,41,12,12,9,0.9699098521619944,44,5,9.58496108888686,0.0,2.357142857142857,206.8442925131479,2021
13,12,Player C,Team A,30,161.73588714314243,102.23862429325436,Midfielder,10,0.0,1,3,71.98056299346165,9.914263347434638,4,13,15,6,0.8324426408004217,68,4,8.575785382302023,0.0,4.818181818181818,120.4531916528158,2021
14,13,Player C,Team A,20,173.9391190318262,65.33268531494409,Forward,0,12.0,9,1,78.81106920258867,10.131731552932926,45,4,15,1,0.2123391106782761,48,3,12.322178142908982,1.46740178685672,6.127337820932273,94.6981213169735,2021
15,14,Player D,Team C,38,167.1671869850129,79.38556407371007,Goalkeeper,22,4.0,0,4,58.95311239650686,12.881257386811264,3,6,10,7,0.1818249672071006,57,6,8.242307414095695,0.8292802644525203,2.4347826086956523,183.12452897420044,2019
16,15,Player A,Team C,23,185.8828066503549,100.09716437987376,Forward,12,11.0,1,3,92.56331807954878,11.953797125684524,13,2,8,8,0.1834045098534338,75,3,12.255554124727594,0.6935581547400088,6.076923076923077,169.0112019196737,2020
17,16,Player D,Team B,28,178.5708947729736,77.16946847690994,Forward,29,5.0,6,0,65.55075510892682,7.370611228891958,92,13,17,0,0.3042422429595377,22,9,19.34909758195358,0.7031385962063181,3.1379310344827585,342.67500953092025,2021
18,17,Player D,Team C,34,179.81270587735634,119.09818458259795,Goalkeeper,23,13.0,0,3,97.37383082677924,5.254663490440628,10,6,14,5,0.5247564316322378,4,9,17.59676053426086,2.7078344109311416,0.2916666666666667,564.3048141191995,2021
19,18,Player D,Team C,27,177.10767152133843,81.17063406626472,Goalkeeper,22,7.0,0,3,79.42479896037224,12.784492091546667,59,8,12,3,0.4319450186421157,81,9,19.124463792500336,6.918208751956334,3.782608695652174,293.6429551508294,2019
20,19,Player C,Team A,29,198.2407884194627,74.22016890805935,Goalkeeper,16,7.0,8,0,74.98236285708835,6.297427992240722,21,6,6,9,0.2912291401980419,72,8,17.094934622710376,3.9103799462179296,3.117647058823529,132.10243048623974,2022
21,20,Player B,Team A,34,168.58940500486253,81.58437857486776,Defender,2,6.0,1,0,58.41821816331104,10.983692285235367,4,12,2,9,0.6118528947223795,46,4,10.321264039194151,1.5225628583928976,6.127337820932273,138.37564411073296,2021
22,21,Player A,Team C,21,180.66657039375497,102.39912899694735,Goalkeeper,0,16.0,3,4,82.71051830944711,14.42631773937779,52,0,11,4,0.1394938606520418,59,7,17.180678578273387,1.8208493532141103,0.2,464.0486311808399,2020
23,22,Player B,Team B,19,184.69451109536806,113.1554200578262,Defender,29,0.0,2,0,86.6488735748236,10.494434898921996,11,8,25,5,0.2921446485352181,34,5,18.84373615329821,0.7547497563809945,0.4696132596685083,519.3128341691669,2021
24,23,Player D,Team A,28,182.2737765253825,53.48370376120029,Midfielder,6,9.0,3,0,52.08072602571806,7.855732585777765,20,6,17,5,0.3663618432936917,11,3,19.205536817555817,2.316420124697782,10.714285714285714,228.0798266102836,2022
25,24,Player D,Team C,24,197.16083542867204,86.68780788588685,Forward,19,12.0,6,0,54.8582158521831,6.788021223140033,78,1,8,6,0.4560699842170359,31,2,15.247967760274957,0.5931193735607755,0.5,219.66744018602432,2022
26,25,Player B,Team C,19,184.69451109536806,52.29848003587144,Midfielder,27,9.0,9,2,89.07904402641746,5.269499108682303,23,4,2,8,0.7851759613930136,11,5,8.170499657226697,3.4122624734762548,0.4642857142857143,681.7675433240829,2021
27,26,Player B,Team B,35,178.54703223092713,82.78866815170511,Goalkeeper,0,13.0,1,0,71.99750107310864,11.2324494213694,12,10,23,3,0.1996737821583597,56,0,5.5959373004703625,5.193123260474834,4.743002164502164,251.89653880358577,2020
28,27,Player B,Team B,38,163.54089260858913,111.96979803678305,Forward,21,0.0,1,0,79.89773986704677,10.579990690113624,95,9,0,8,0.5142344384136116,38,1,7.208003422402337,1.9257844543395144,0.1363636363636363,205.26709411633055,2019
29,28,Player D,Team A,21,184.3599644420772,75.31131864942168,Goalkeeper,11,6.0,8,0,69.11709291499156,9.617259154113508,25,14,20,0,0.5924145688620425,21,6,19.483203768409183,2.900640660825865,7.916666666666667,244.7259628892672,2019
